Lao Script,Transliteration,English Translation,Word Type
ສະບາຍດີ,Sabaidee,Hello,greeting
ຂອບໃຈ,Khop chai,Thank you,phrase
ແມ່ນ,Maen,Yes/To be,verb
ບໍ່,Bor,No/Not,particle
ໂດຍ,Doi,Yes (Polite),particle
ຂ້ອຍ,Khoy,I/Me,pronoun
ເຈົ້າ,Jao,You,pronoun
ລາວ,Lao,He/She,pronoun
ພວກເຮົາ,Phuak hao,We,pronoun
ພວກເຂົາ,Phuak khao,They,pronoun
ນີ້,Nee,This,determiner
ນັ້ນ,Nan,That,determiner
ຫຍັງ,Nyang,What,pronoun
ໃສ,Sai,Where,adverb
ໃຜ,Phai,Who,pronoun
ເມື່ອໃດ,Meua dai,When,adverb
ເປັນຫຍັງ,Pen nyang,Why,adverb
ແນວໃດ,Naew dai,How,adverb
ກິນ,Gin,Eat,verb
ດື່ມ,Deum,Drink,verb
ໄປ,Pai,Go,verb
ມາ,Ma,Come,verb
ນອນ,Non,Sleep,verb
ຮັກ,Huk,Love,verb
ຢາກ,Yak,Want,verb
ມີ,Mee,Have,verb
ຮູ້,Roo,Know,verb
ເຂົ້າໃຈ,Khao jai,Understand,verb
ເຮັດ,Het,Do/Make,verb
ເວົ້າ,Vao,Speak,verb
ເບິ່ງ,Beung,Look,verb
ຟັງ,Fang,Listen,verb
ອ່ານ,An,Read,verb
ຂຽນ,Khian,Write,verb
ຮຽນ,Hian,Learn,verb
ເຮັດວຽກ,Het viak,Work,verb
ຫຼິ້ນ,Lin,Play,verb
ຊື້,Seu,Buy,verb
ຂາຍ,Khai,Sell,verb
ພົບ,Phop,Meet,verb
ຊ່ວຍ,Suay,Help,verb
ຢຸດ,Yut,Stop,verb
ຍ່າງ,Nyang,Walk,verb
ແລ່ນ,Laen,Run,verb
ນັ່ງ,Nang,Sit,verb
ຢືນ,Yeun,Stand,verb
ຄົນ,Khon,Person,noun
ນ້ຳ,Nam,Water,noun
ເຂົ້າ,Khao,Rice/Food,noun
ເຮືອນ,Heuan,House,noun
ໂຮງຮຽນ,Hong hian,School,noun
ວັດ,Wat,Temple,noun
ຕະຫຼາດ,Ta lat,Market,noun
ໂຮງໝໍ,Hong mor,Hospital,noun
ທາງ,Tang,Road,noun
ມື້,Meu,Day,noun
ອາທິດ,Athit,Week,noun
ເດືອນ,Deuan,Month,noun
ປີ,Pi,Year,noun
ເວລາ,Vela,Time,noun
ພໍ່,Phor,Father,noun
ແມ່,Mae,Mother,noun
ອ້າຍ,Ai,Older brother,noun
ເອື້ອຍ,Euay,Older sister,noun
ໝູ່,Moo,Friend,noun
ເງິນ,Ngin,Money,noun
ດີ,Dee,Good,adjective
ບໍ່ດີ,Bor dee,Bad,adjective
ໃຫຍ່,Nyai,Big,adjective
ນ້ອຍ,Noy,Small,adjective
ສູງ,Soong,Tall,adjective
ງາມ,Ngam,Beautiful,adjective
ຮ້ອນ,Hon,Hot,adjective
ໜາວ,Nao,Cold,adjective
ແຊບ,Saep,Delicious,adjective
ແພງ,Phaeng,Expensive,adjective
ຖືກ,Theuk,Cheap,adjective
ໃໝ່,Mai,New,adjective
ເກົ່າ,Kao,Old,adjective
ໄວ,Vai,Fast,adjective
ຊ້າ,Sa,Slow,adjective
ຫຼາຍ,Lai,Many/Very,adjective
ໜ້ອຍ,Noy,Few/Little,adjective
ແລະ,Lae,And,conjunction
ແຕ່,Tae,But,conjunction
ຫຼື,Leu,Or,conjunction
ກັບ,Gap,With/And,preposition
ຢູ່,Yuu,At/Live,preposition
ໃນ,Nai,In,preposition
ເທິງ,Theung,On/Above,preposition
ກ່ອນ,Kon,Before,preposition
ຫຼັງ,Lang,After/Behind,preposition
ແລ້ວ,Laew,Already,adverb
ອີກ,Eek,Again,adverb
ມື້ວານນີ້,Meu van nee,Yesterday,noun
ມື້ນີ້,Meu nee,Today,noun
ມື້ອື່ນ,Meu eun,Tomorrow,noun
ຫົວ,Hua,Head,noun
ມື,Meu,Hand,noun
ຕີນ,Thin,Foot,noun
ຕາ,Ta,Eye,noun
ດັງ,Dang,Nose,noun
ປາກ,Pak,Mouth,noun
ຫູ,Hoo,Ear,noun
ໃຈ,Jai,Heart/Mind,noun
ໜຶ່ງ,Neung,One,number
ສອງ,Song,Two,number
ສາມ,Sam,Three,number
ສີ່,See,Four,number
ຫ້າ,Ha,Five,number
ຫົກ,Hok,Six,number
ເຈັດ,Jet,Seven,number
ແປດ,Paet,Eight,number
ເກົ້າ,Kao,Nine,number
ສິບ,Sip,Ten,number
ສິບເອັດ,Sip et,Eleven,number
ສິບສອງ,Sip song,Twelve,number
ຊາວ,Sao,Twenty,number
ສາມສິບ,Sam sip,Thirty,number
ສີ່ສິບ,See sip,Forty,number
ຫ້າສິບ,Ha sip,Fifty,number
ຫົກສິບ,Hok sip,Sixty,number
ເຈັດສິບ,Jet sip,Seventy,number
ແປດສິບ,Paet sip,Eighty,number
ເກົ້າສິບ,Kao sip,Ninety,number
ຮ້ອຍ,Hoy,Hundred,number
ສີແດງ,See daeng,Red,noun/adj
ສີຟ້າ,See fa,Blue,noun/adj
ສີຂຽວ,See khiao,Green,noun/adj
ສີເຫຼືອງ,See lueang,Yellow,noun/adj
ສີດໍາ,See dam,Black,noun/adj
ສີຂາວ,See khao,White,noun/adj
ໝາ,Ma,Dog,noun
ແມວ,Maew,Cat,noun
ໄກ່,Gai,Chicken,noun
ປາ,Pa,Fish,noun
ງົວ,Ngua,Cow,noun
ຊ້າງ,Sang,Elephant,noun
ໝາກໄມ້,Mak mai,Fruit,noun
ໝາກກ້ວຍ,Mak guay,Banana,noun
ໝາກນັດ,Mak nat,Pineapple,noun
ໝາກຫຸ່ງ,Mak hung,Papaya,noun
ຜັກ,Phak,Vegetable,noun
ໄຂ່,Khai,Egg,noun
ເຂົ້າຈີ່,Khao jee,Bread,noun
ກາເຟ,Ga fe,Coffee,noun
ນົມ,Nom,Milk,noun
ເບຍ,Bia,Beer,noun
ລົດຖີບ,Rot thip,Bicycle,noun
ລົດຈັກ,Rot jak,Motorcycle,noun
ເຮືອບິນ,Heua bin,Airplane,noun
ໂທລະສັບ,Tholasap,Phone,noun
ປຶ້ມ,Peum,Book,noun
ໂຕະ,To,Table,noun
ຕັ່ງ,Tang,Chair,noun
ຕຽງ,Tiang,Bed,noun
ຜ້າ,Pha,Cloth,noun
ເກີບ,Geup,Shoes,noun
ໝວກ,Muak,Hat,noun
ຝົນ,Fon,Rain,noun
ແດດ,Daet,Sunshine,noun
ລົມ,Lom,Wind,noun
ພູ,Phoo,Mountain,noun
ປ່າ,Pa,Forest,noun
ແມ່ນ້ຳ,Mae nam,River,noun
